# Version 0.0
# - Design points to be generated
# Parameter pT0Ref ecmPow coreRadius coreFraction CRrange
# - Parameter pT0Ref:       Linear [0.5, 2.5]  
# - Parameter ecmPow:       Linear [0.0, 0.25]  
# - Parameter coreRadius:   Linear [0.1, 1.0]     
# - Parameter coreFraction: Linear [0.0, 1.0]     
# - Parameter CRrange:      Linear [1.0, 9.0]    

# LHS Seed = 43; Number of Design Points = 19
# Design point indices (row index): 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1.166609021309802596e+00 6.135828447288860232e-02 7.839360947996341089e-01 6.697098998979863493e-01 7.043166014834215893e+00
1.680204711862866684e+00 1.022614324407237624e-01 7.076502834801751129e-01 5.422448943788428233e-01 2.407962094315283519e+00
1.539495001843100619e+00 3.295467096964403708e-02 8.467502134068294328e-01 4.776132073505701681e-01 8.584663143237785121e+00
2.231609647101820748e+00 2.374196561549263007e-01 3.964646819196270267e-01 8.742343244801814572e-01 6.210309139883076313e+00
8.240589619965349444e-01 1.987093408717607868e-01 7.704853128715336563e-01 9.064130170788037288e-01 4.033383390538567426e+00
5.115054566389778401e-01 1.784444847081119168e-01 6.824639092682931452e-01 2.357749543264032466e-01 3.569775981839166334e+00
1.085913749094859826e+00 7.387691344725196008e-02 4.936496775306788987e-01 3.607614257493593213e-01 6.109925042117837712e+00
1.805688493665115191e+00 2.466965885188390217e-01 5.996234250357945772e-01 3.388447683354385287e-01 1.117585389566841281e+00
1.986664864089920268e+00 4.972755167602507798e-02 1.965015270290272897e-01 6.414480639469571921e-01 5.134460309688850366e+00
1.254116221228340322e+00 1.844495458759066314e-02 9.549414210653509594e-01 7.299094068291064330e-01 5.640498462528396040e+00
2.307666269999645081e+00 1.483127140075897743e-01 4.260404463833512567e-01 7.716349039781800201e-01 4.889215291941743757e+00
1.725442112585988008e+00 8.880023687318454317e-02 5.812867390129791145e-01 9.822185248306907202e-01 3.331628938306352428e+00
1.302901382442436029e+00 1.703598224485270152e-01 2.939621287080065315e-01 8.347073567873475319e-01 1.452164100791824008e+00
2.022102899588436919e+00 1.584022159934522223e-01 9.560875881241245322e-01 2.450548305345312539e-02 1.892235884941213087e+00
9.327139055811140000e-01 6.790031441005074664e-03 1.295183272520734341e-01 1.155813734654575486e-01 6.952765045209223338e+00
2.484322469422970414e+00 2.025861421417920749e-01 3.359529107326433284e-01 1.876019843183012736e-01 7.512399196141751112e+00
7.133390964185988281e-01 8.156569588883932909e-02 1.584827549113161371e-01 4.452485590316625497e-01 8.975203284698611839e+00
1.473374829628028237e+00 2.175550655384426157e-01 9.084433861754769302e-01 5.223522012178734991e-02 8.111955309972502803e+00
2.140498944804726023e+00 1.301494122923294861e-01 2.531780500141211920e-01 5.961244741886521092e-01 4.376880370041448032e+00
